Lat.,Long.,CombinedBins,Genetic ID_x,Master ID,Skeletal code_x,Skeletal element_x,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]_x",Publication_x,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)_x","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]_x","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]_x","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE_x",Age at Death from physical anthropology_x,Group ID_x,Locality_x,Political Entity_x,Pulldown Strategy_x,Data source_x,No. Libraries_x,1240k coverage (taken from original pulldown where possible)_x,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)_x,SNPs hit on autosomal targets (Computed using easystats on HO snpset)_x,Molecular Sex_x,Family ID and position within family_x,Y haplogroup (manual curation in terminal mutation format)_x,Y haplogroup (manual curation in ISOGG format)_x,mtDNA coverage (merged data)_x,mtDNA haplogroup if >2x or published_x,mtDNA match to consensus if >2x (merged data)_x,Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)_x,Sex ratio [Y/(Y+X) counts] (merged data)_x,"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)_x",Libraries_x,ASSESSMENT_x,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0._x",Unnamed: 35_x,DateBins_x,Updated mtDNA haplogroup_x,P_y_sum,I_y_sum,G_y_sum,R_y_sum,E_y_sum,B_y_sum,H_y_sum,A_y_sum,D_y_sum,K_y_sum,J_y_sum,F_y_sum,N_y_sum,L_y_sum,Q_y_sum,C_y_sum,y_haplos_sum,Genetic ID_y,Skeletal code_y,Skeletal element_y,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]_y",Publication_y,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)_y","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]_y","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]_y","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE_y",Age at Death from physical anthropology_y,Group ID_y,Locality_y,Political Entity_y,Pulldown Strategy_y,Data source_y,No. Libraries_y,1240k coverage (taken from original pulldown where possible)_y,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)_y,SNPs hit on autosomal targets (Computed using easystats on HO snpset)_y,Molecular Sex_y,Family ID and position within family_y,Y haplogroup (manual curation in terminal mutation format)_y,Y haplogroup (manual curation in ISOGG format)_y,mtDNA coverage (merged data)_y,mtDNA haplogroup if >2x or published_y,mtDNA match to consensus if >2x (merged data)_y,Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)_y,Sex ratio [Y/(Y+X) counts] (merged data)_y,"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)_y",Libraries_y,ASSESSMENT_y,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0._y",Unnamed: 35_y,DateBins_y,Updated mtDNA haplogroup_y,P_mt_sum,X_mt_sum,V_mt_sum,I_mt_sum,R_mt_sum,E_mt_sum,K_mt_sum,U_mt_sum,T_mt_sum,r_mt_sum,A_mt_sum,M_mt_sum,J_mt_sum,W_mt_sum,L_mt_sum,C_mt_sum,G_mt_sum,B_mt_sum,H_mt_sum,D_mt_sum,F_mt_sum,N_mt_sum,Z_mt_sum,Y_mt_sum,mt_haplos_sum
37.75,32.866667,Turkey (9000-9999BP),ZHAG_BON004.A0101_Luk10,ZHAG,ZHAG,petrous,2019,FeldmanNatureCommunications2019,Context: Archaeological - Period,19800,404,8300-7600 BCE,,Turkey_Boncuklu_N,Boncuklu,Turkey,1240K pulldown padded to 3.2M snpset,1240K,1,1.243703,1258594,675393,F,n/a (no relatives detected),n/a (female),n/a,,N1a1a1,,,,,BON004. A0101 ,PASS,,0.0,9000-9999,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZHAG_BON004.A0101_Luk10,ZHAG,petrous,2019,FeldmanNatureCommunications2019,Context: Archaeological - Period,19800,404,8300-7600 BCE,,Turkey_Boncuklu_N,Boncuklu,Turkey,1240K pulldown padded to 3.2M snpset,1240K,1,1.243703,1258594,675393,F,n/a (no relatives detected),n/a (female),n/a,,N1a1a1,,,,,BON004. A0101 ,PASS,,0.0,9000-9999,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
37.75,67.0,Uzbekistan (3000-3999BP),I4161,I4161,UZ-JAR-008 (Jarkutan 4a 1975. Grave 206),petrous,2019,NarasimhanPattersonScience2019,Context: Archaeological - Period,33128,482,2100-1800 BCE,,Uzbekistan_Dzharkutan_BA_1,Dzharkutan,Uzbekistan,Repulldown on 3.2M snpset,1240K,1,1.608,5762845,3110417,F,n/a (no relatives detected),n/a (female),n/a,46.1,H+16311,[0.978.0.998],0.114,0.014,ds.half,S4161.E1.L1,PASS,2500.to.5000 SNPs. damage.ss.half=0.046,0.0,3000-3999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I4161,UZ-JAR-008 (Jarkutan 4a 1975. Grave 206),petrous,2019,NarasimhanPattersonScience2019,Context: Archaeological - Period,33128,482,2100-1800 BCE,,Uzbekistan_Dzharkutan_BA_1,Dzharkutan,Uzbekistan,Repulldown on 3.2M snpset,1240K,1,1.608,5762845,3110417,F,n/a (no relatives detected),n/a (female),n/a,46.1,H+16311,[0.978.0.998],0.114,0.014,ds.half,S4161.E1.L1,PASS,2500.to.5000 SNPs. damage.ss.half=0.046,0.0,3000-3999,n/a,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0
37.75191,32.864901,Turkey (10000-10999BP),Bon002_noUDG.WGC,Bon002,ZHB,petrous,2016,KilincCurrentBiology2016,Direct (WARNING MISSING UNCALIBRATED DATE NEED TO RECALIBRATED TO INTCAL20): IntCal13,20298,104,8279-7977 calBCE (Wk-29763),,Turkey_Boncuklu_N.SG,Boncuklu,Turkey,Repulldown on 3.2M snpset,WISP+Shotgun,,3.95,986881,517141,F,n/a (no relatives detected),n/a (female),n/a,,K1a,,,,ds.minus,,PASS,,0.0,10000-10999,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bon002_noUDG.WGC,ZHB,petrous,2016,KilincCurrentBiology2016,Direct (WARNING MISSING UNCALIBRATED DATE NEED TO RECALIBRATED TO INTCAL20): IntCal13,20298,104,8279-7977 calBCE (Wk-29763),,Turkey_Boncuklu_N.SG,Boncuklu,Turkey,Repulldown on 3.2M snpset,WISP+Shotgun,,3.95,986881,517141,F,n/a (no relatives detected),n/a (female),n/a,,K1a,,,,ds.minus,,PASS,,0.0,10000-10999,K,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
37.762609,-1.562,Spain (3000-3999BP),BAS002,BAS002,BA06/1,tooth(17. 22. 47),2021,VillalbaMoucoSciAdv2021,Direct: IntCal20,33976,459,1620-1506 calBCE (3298±27 BP. KIA-50633),,Spain_Bastida_Argar_Late,Murcia. Totana. La Bastida,Spain,Repulldown on 3.2M snpset,1240K,1,0.98764,3515934,1931821,M,n/a (no relatives detected),P312,n/a,5.4596,H1e1a,n/a (<2x),,,ds.half,BAS002.A0102,PASS,,0.0,3000-3999,H,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BAS002,BA06/1,tooth(17. 22. 47),2021,VillalbaMoucoSciAdv2021,Direct: IntCal20,33976,459,1620-1506 calBCE (3298±27 BP. KIA-50633),,Spain_Bastida_Argar_Late,Murcia. Totana. La Bastida,Spain,Repulldown on 3.2M snpset,1240K,1,0.98764,3515934,1931821,M,n/a (no relatives detected),P312,n/a,5.4596,H1e1a,n/a (<2x),,,ds.half,BAS002.A0102,PASS,,0.0,3000-3999,H,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0
37.762609,-1.562,Spain (4000-4999BP),BAS024,BAS024,BAH77-112.1,petrous (right),2021,VillalbaMoucoSciAdv2021,Direct: IntCal20,4029,45,2192-1980 calBCE (3688±23 BP. MAMS-23111),,Spain_Bastida_Argar,Murcia. Totana. La Bastida,Spain,Repulldown on 3.2M snpset,1240K,1,1.278145,711122,391824,M,n/a (no relatives detected),P312,n/a,10.9945,K1a+195,,,,ds.half,BAS024.A0101,PASS,,0.0,4000-4999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAS024,BAH77-112.1,petrous (right),2021,VillalbaMoucoSciAdv2021,Direct: IntCal20,4029,45,2192-1980 calBCE (3688±23 BP. MAMS-23111),,Spain_Bastida_Argar,Murcia. Totana. La Bastida,Spain,Repulldown on 3.2M snpset,1240K,1,1.278145,711122,391824,M,n/a (no relatives detected),P312,n/a,10.9945,K1a+195,,,,ds.half,BAS024.A0101,PASS,,0.0,4000-4999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.77,75.22,China (2000-2999BP),C1192,C1192,C1192,Bone,2022,KumarFuScience2022,Direct (WARNING: NO UNCALIBRATED DATE OR LAB CODE),27501,1201,733-397 calBCE,,China_Xinjiang_Jierzankale(Jirzankal)_IA,Xinjiang. Kashi (Kashgar) Region. Tashikuergan(Taxkorgan)  County. Jierzankale(Jirzankal),China,Native Pulldown on 3.2M snpset,1240K,1,,5564859,3319194,M,n/a (no relatives detected),n/a (female),K,3133,H14a,,0.044,,ds.half,L1190,PASS,,0.0,2000-2999,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,C1192,C1192,Bone,2022,KumarFuScience2022,Direct (WARNING: NO UNCALIBRATED DATE OR LAB CODE),27501,1201,733-397 calBCE,,China_Xinjiang_Jierzankale(Jirzankal)_IA,Xinjiang. Kashi (Kashgar) Region. Tashikuergan(Taxkorgan)  County. Jierzankale(Jirzankal),China,Native Pulldown on 3.2M snpset,1240K,1,,5564859,3319194,M,n/a (no relatives detected),n/a (female),K,3133,H14a,,0.044,,ds.half,L1190,PASS,,0.0,2000-2999,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0
37.79,41.01,Turkey (2000-2999BP),I14635,I14635,Locus 40; KH12E,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,12593,1115,1000-100 BCE,adult; 18-25 yrs.,Turkey_IA,Kuriki Höyük (Southeast. Batman) ,Turkey,Repulldown on 3.2M snpset,1240K,1,3.378684,1718371,945555,F,n/a (no relatives detected),n/a (female),n/a,269,U1a1,[0.992.0.999],0.159,0.011,ds.half,S14635.Y1.E1.L1,PASS,,0.0,2000-2999,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I14635,Locus 40; KH12E,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,12593,1115,1000-100 BCE,adult; 18-25 yrs.,Turkey_IA,Kuriki Höyük (Southeast. Batman) ,Turkey,Repulldown on 3.2M snpset,1240K,1,3.378684,1718371,945555,F,n/a (no relatives detected),n/a (female),n/a,269,U1a1,[0.992.0.999],0.159,0.011,ds.half,S14635.Y1.E1.L1,PASS,,0.0,2000-2999,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
37.79,41.01,Turkey (5000-5999BP),I14627,I14627,Locus 121A; KH12A,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct (WARNING MISSING LAB CODE. MISSING UNCALIBRATED DATE. NEED TO CHANGE TO INTCAL20): IntCal13,11485,612,3645-3525 calBCE,Adolescent; 12 yrs. � 36 mo.,Turkey_KurikiHoyuk_C,Kuriki Höyük (Southeast. Batman) ,Turkey,Repulldown on 3.2M snpset,1240K,1,0.412406,445066,242328,F,n/a (no relatives detected),n/a (female),n/a,57.69,U8b1a2b,[0.980.0.996],0.242,0.012,ds.half,S14627.Y1.E1.L1,PASS,,0.0,5000-5999,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I14627,Locus 121A; KH12A,petrous,2022,LazaridisAlpaslanRoodenbergScience2022,Direct (WARNING MISSING LAB CODE. MISSING UNCALIBRATED DATE. NEED TO CHANGE TO INTCAL20): IntCal13,11485,612,3645-3525 calBCE,Adolescent; 12 yrs. � 36 mo.,Turkey_KurikiHoyuk_C,Kuriki Höyük (Southeast. Batman) ,Turkey,Repulldown on 3.2M snpset,1240K,1,0.412406,445066,242328,F,n/a (no relatives detected),n/a (female),n/a,57.69,U8b1a2b,[0.980.0.996],0.242,0.012,ds.half,S14627.Y1.E1.L1,PASS,,0.0,5000-5999,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
37.8071083,-2.543041667,Spain (0-999BP),I7497,I7497,29 (Sepultura 2 (no. 1003)),tooth,2019,OlaldeScience2019,Context: Archaeological - Period,1800,58,1000-1100 CE,,Spain_Islamic_Zira,Granada. Huéscar. Cueva Romero,Spain,Repulldown on 3.2M snpset,1240K,1,0.093691,950124,515103,F,n/a (no relatives detected),n/a (female),n/a,114,H20a,[0.998.1.000],0.073,0.011,ds.half,S7497.E1.L1,PASS,damage.ds.half=0.037,0.0,0-999,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I7497,29 (Sepultura 2 (no. 1003)),tooth,2019,OlaldeScience2019,Context: Archaeological - Period,1800,58,1000-1100 CE,,Spain_Islamic_Zira,Granada. Huéscar. Cueva Romero,Spain,Repulldown on 3.2M snpset,1240K,1,0.093691,950124,515103,F,n/a (no relatives detected),n/a (female),n/a,114,H20a,[0.998.1.000],0.073,0.011,ds.half,S7497.E1.L1,PASS,damage.ds.half=0.037,0.0,0-999,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
37.82060368,109.0505931,China (4000-4999BP),18R21266_noUDG.EC,AH117_18R21266,18R21266,bone (cranial),2021,WangNature2021,Direct: IntCal20,4785,60,2906-2702 calBCE (4230±25 BP. XA-15378),,China_Wuzhuangguoliang_LN.EC,Shaanxi. Wuzhuangguoliang,China,Repulldown on 3.2M snpset,Exome.capture,1,0.315457,40692,19792,F,n/a (no relatives detected),n/a (female),n/a,910.49,B4a2b1,[0.992.0.996],0.3312,,ds.minus,cap44-18R21266,PASS,,0.0,4000-4999,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18R21266_noUDG.EC,18R21266,bone (cranial),2021,WangNature2021,Direct: IntCal20,4785,60,2906-2702 calBCE (4230±25 BP. XA-15378),,China_Wuzhuangguoliang_LN.EC,Shaanxi. Wuzhuangguoliang,China,Repulldown on 3.2M snpset,Exome.capture,1,0.315457,40692,19792,F,n/a (no relatives detected),n/a (female),n/a,910.49,B4a2b1,[0.992.0.996],0.3312,,ds.minus,cap44-18R21266,PASS,,0.0,4000-4999,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.82060368,109.0505931,China (5000-5999BP),18R21262_noUDG.EC,18R21262,18R21262,bone,2021,WangNature2021,Context: Archaeological - Period,30300,1038,3400-2800 BCE,,China_Wuzhuangguoliang_LN.EC,Shaanxi. Wuzhuangguoliang,China,Repulldown on 3.2M snpset,Exome.capture,1,0.090919,105600,51790,F,n/a (no relatives detected),n/a (female),n/a,594.76,A7,[0.995.0.999],0.2709,,ds.minus,cap40-18R21262,PASS,,0.0,5000-5999,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18R21262_noUDG.EC,18R21262,bone,2021,WangNature2021,Context: Archaeological - Period,30300,1038,3400-2800 BCE,,China_Wuzhuangguoliang_LN.EC,Shaanxi. Wuzhuangguoliang,China,Repulldown on 3.2M snpset,Exome.capture,1,0.090919,105600,51790,F,n/a (no relatives detected),n/a (female),n/a,594.76,A7,[0.995.0.999],0.2709,,ds.minus,cap40-18R21262,PASS,,0.0,5000-5999,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
37.844,140.91,Japan (3000-3999BP),Sanganji_131464.SG,Sanganji131464,Sanganji_131464_B,tooth,2019,KanzawaKiriyamaJHG2016,Direct (WARNING MISSING LAB CODE): IntCal20,13120,164,1404-1263 calBCE (3061±19 BP),,Japan_Jomon_lc.SG,Tohoku. Fukushima. Sanganji Shell Mound,Japan,1240K pulldown padded to 3.2M snpset,Shotgun,,0.010153,57574,31710,F,n/a (no relatives detected),n/a (female),n/a,,N9b,,,,ds.minus,,PASS,,0.0,3000-3999,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanganji_131464.SG,Sanganji_131464_B,tooth,2019,KanzawaKiriyamaJHG2016,Direct (WARNING MISSING LAB CODE): IntCal20,13120,164,1404-1263 calBCE (3061±19 BP),,Japan_Jomon_lc.SG,Tohoku. Fukushima. Sanganji Shell Mound,Japan,1240K pulldown padded to 3.2M snpset,Shotgun,,0.010153,57574,31710,F,n/a (no relatives detected),n/a (female),n/a,,N9b,,,,ds.minus,,PASS,,0.0,3000-3999,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
37.872,58.225,Turkmenistan (5000-5999BP),I4086,I4086,ANAU2,petrous (CBD),2019,NarasimhanPattersonScience2019,Context: Archaeological - Period,5450,289,4000-3000 BCE,,Turkmenistan_C_TepeAnau,Turkestan. Tepe Anau,Turkmenistan,Repulldown on 3.2M snpset,1240K,1,1.995,720501,391401,F,n/a (no relatives detected),n/a (female),n/a,344,U1a1d,[0.986.0.994],0.122,0.022,ds.half,S4086.E1.L1,PASS,,0.0,5000-5999,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I4086,ANAU2,petrous (CBD),2019,NarasimhanPattersonScience2019,Context: Archaeological - Period,5450,289,4000-3000 BCE,,Turkmenistan_C_TepeAnau,Turkestan. Tepe Anau,Turkmenistan,Repulldown on 3.2M snpset,1240K,1,1.995,720501,391401,F,n/a (no relatives detected),n/a (female),n/a,344,U1a1d,[0.986.0.994],0.122,0.022,ds.half,S4086.E1.L1,PASS,,0.0,5000-5999,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.8724,13.9346,Italy (3000-3999BP),I4383,I4383,VALINF (Vallone Inferno),bone (long bone),2020,FernandesNatureEcologyEvolution2020,Context: Bracketed between a radiocarbon date on bone from layer 3.4.g of 2571-2304 calBCE (3948±35 BP. DSH-1976). and a radiocarbon date on seed in layer 3.4.b of 1613-1431 calBCE (3244±42 BP. DSH-2815) calibrated as IntCal20,3950,346,2600-1400 BCE,,Italy_Sicily_EBA,Sicily. Vallone Inferno,Italy,Repulldown on 3.2M snpset,1240K,2,0.013066,15268,8185,F,n/a (no relatives detected),n/a (female),n/a,0.487899,n/a (<2x),n/a (<2x),,,ds.half.ds.half,S4383.E1.L1.S4383.E1.L2,PASS,,0.0,3000-3999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I4383,VALINF (Vallone Inferno),bone (long bone),2020,FernandesNatureEcologyEvolution2020,Context: Bracketed between a radiocarbon date on bone from layer 3.4.g of 2571-2304 calBCE (3948±35 BP. DSH-1976). and a radiocarbon date on seed in layer 3.4.b of 1613-1431 calBCE (3244±42 BP. DSH-2815) calibrated as IntCal20,3950,346,2600-1400 BCE,,Italy_Sicily_EBA,Sicily. Vallone Inferno,Italy,Repulldown on 3.2M snpset,1240K,2,0.013066,15268,8185,F,n/a (no relatives detected),n/a (female),n/a,0.487899,n/a (<2x),n/a (<2x),,,ds.half.ds.half,S4383.E1.L1.S4383.E1.L2,PASS,,0.0,3000-3999,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.908,13.478,Italy (3000-3999BP),I4109,I4109,BU36B,petrous,2020,FernandesNatureEcologyEvolution2020,Direct: IntCal20,3516,33,1618-1510 calBCE (3300±25 BP. PSUAMS-1949),,Italy_Sicily_MBA_o3,Sicily. Buffa,Italy,Repulldown on 3.2M snpset,1240K,1,4.566,786507,431237,F,n/a (no relatives detected),n/a (female),n/a,248,K2b1,[0.992.0.999],0.071,0.013,ds.half,S4109.E1.L1,PASS,,0.0,3000-3999,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I4109,BU36B,petrous,2020,FernandesNatureEcologyEvolution2020,Direct: IntCal20,3516,33,1618-1510 calBCE (3300±25 BP. PSUAMS-1949),,Italy_Sicily_MBA_o3,Sicily. Buffa,Italy,Repulldown on 3.2M snpset,1240K,1,4.566,786507,431237,F,n/a (no relatives detected),n/a (female),n/a,248,K2b1,[0.992.0.999],0.071,0.013,ds.half,S4109.E1.L1,PASS,,0.0,3000-3999,K,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.908,13.478,Italy (4000-4999BP),I3122,I3122,BU30 (grave 3030. cranium II),petrous,2020,FernandesNatureEcologyEvolution2020,Direct: IntCal20,8194,122,2272-2032 calBCE (3730±30 BP. PSUAMS-1985),adult ,Italy_Sicily_EBA,Sicily. Buffa,Italy,Repulldown on 3.2M snpset,1240K,1,5.451986,1761306,956306,F,n/a (no relatives detected),n/a (female),n/a,353,T2b,[0.988.0.995],0.082,0.012,ds.half,S3122.E1.L2,PASS,,0.0,4000-4999,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I3122,BU30 (grave 3030. cranium II),petrous,2020,FernandesNatureEcologyEvolution2020,Direct: IntCal20,8194,122,2272-2032 calBCE (3730±30 BP. PSUAMS-1985),adult ,Italy_Sicily_EBA,Sicily. Buffa,Italy,Repulldown on 3.2M snpset,1240K,1,5.451986,1761306,956306,F,n/a (no relatives detected),n/a (female),n/a,353,T2b,[0.988.0.995],0.082,0.012,ds.half,S3122.E1.L2,PASS,,0.0,4000-4999,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
37.91774,30.70839,Turkey (4000-4999BP),I2499,I2499,U1c ((Hom 2002)),petrous,2017,LazaridisNature2017,Direct: IntCal20,35972,460,2836-2468 calBCE (4040±35 BP. Poz-82213),,Turkey_EBA,Harmanören-Göndürle Höyük (Mediterranean. Isparta) ,Turkey,Repulldown on 3.2M snpset,1240K,4,0.470644,5441136,2941138,F,n/a (no relatives detected),n/a (female),n/a,22.323375,K1a2,[0.945.0.984],0.126,0.012,ds.half.ds.half.ds.half.ds.half,S2499.E1.L2.S2499.E1.L3.S2499.E1.L4.S2499.E1.L5,PASS,,0.0,4000-4999,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I2499,U1c ((Hom 2002)),petrous,2017,LazaridisNature2017,Direct: IntCal20,35972,460,2836-2468 calBCE (4040±35 BP. Poz-82213),,Turkey_EBA,Harmanören-Göndürle Höyük (Mediterranean. Isparta) ,Turkey,Repulldown on 3.2M snpset,1240K,4,0.470644,5441136,2941138,F,n/a (no relatives detected),n/a (female),n/a,22.323375,K1a2,[0.945.0.984],0.126,0.012,ds.half.ds.half.ds.half.ds.half,S2499.E1.L2.S2499.E1.L3.S2499.E1.L4.S2499.E1.L5,PASS,,0.0,4000-4999,K,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
